CodigoMunicipio,MunicipioResidencia,Total_casos_dengue,POP_TOT,PIB_PER_CAPITA,IDH-M,GINI,IN055_AE,IN056_AE,IN024_AE,IN015_AE,IN022_AE,IN049_AE,IN016_AE,IN015_RS,Índice de pavimentação das vias públicas,CS001,Msau28,Mgrd06,Mgrd08,Mgrd11,IndiceSurto,Surto
351570,FERRAZ DE VASCONCELOS,8814,179198,23863.13,0.738,0.456,96.97,90.35,90.51,67.47,123.8,24.96,57.94,100.0,95.15,NAO,Sim,Sim,Sim,Sim,4918.5816805991135,True
351580,FLORA RICA,18,1487,30176.19,0.727,0.418,82.25,81.3,100.0,99.95,176.1,20.11,100.0,99.87,98.24,NAO,Sim,Não,Não,Não,1210.4909213180902,True
351590,FLOREAL,19,2733,28393.24,0.747,0.376,77.46,76.88,100.0,100.0,179.6,20.99,100.0,89.72,99.78,SIM,Sim,Não,Não,Não,695.2067325283571,True
351600,FLORIDA PAULISTA,62,12958,17731.75,0.715,0.429,93.73,92.08,90.47,100.0,150.9,5.49,100.0,100.0,90.89,SIM,Sim,Não,Não,Não,478.4688995215311,True
351610,FLORINIA,242,3851,65354.84,0.713,0.494,76.14,74.34,100.0,99.54,255.5,20.77,100.0,93.48,98.69,SIM,Sim,Não,Não,Sim,6284.082056608672,True
351620,FRANCA,10445,352536,31450.1,0.78,0.467,96.95,96.27,100.0,97.3,165.1,25.8,100.0,98.24,98.22,SIM,Sim,Sim,Sim,Sim,2962.8179817096693,True
351630,FRANCISCO MORATO,4471,165139,10439.01,0.703,0.436,90.41,69.56,49.59,40.47,111.8,46.36,0.19,98.76,67.59,NAO,Não,Sim,Sim,Sim,2707.416176675407,True
351640,FRANCO DA ROCHA,14225,144849,27126.51,0.731,0.465,92.48,81.47,73.46,56.3,135.1,32.52,3.41,100.0,86.41,NAO,Sim,Sim,Sim,Sim,9820.571767840993,True
351650,GABRIEL MONTEIRO,18,2763,33755.37,0.763,0.374,83.64,82.56,100.0,99.47,180.4,16.59,100.0,83.24,99.62,SIM,Sim,Não,Não,Não,651.4657980456026,True
351660,GALIA,127,6380,26907.52,0.709,0.427,74.59,73.21,100.0,99.98,171.7,23.15,100.0,94.89,99.89,SIM,Sim,Sim,Sim,Não,1990.5956112852664,True
351670,GARCA,1931,42110,38831.12,0.769,0.508,89.36,89.36,100.0,75.52,180.4,32.85,100.0,94.99,95.33,SIM,Não,Não,Não,Não,4585.609118974116,True
351680,GASTAO VIDIGAL,36,3252,17476.7,0.723,0.43,83.98,83.06,91.25,100.0,144.3,15.46,100.0,99.45,99.74,SIM,Sim,Não,Não,Não,1107.011070110701,True
351685,GAVIAO PEIXOTO,283,4702,244615.79,0.719,0.361,99.7,80.67,100.0,84.44,208.2,46.11,100.0,99.7,99.54,SIM,Sim,Não,Não,Não,6018.715440238197,True
351690,GENERAL SALGADO,193,10312,25343.09,0.747,0.459,92.47,87.51,100.0,100.0,178.5,15.09,100.0,85.06,98.1,NAO,Sim,Sim,Sim,Sim,1871.6058960434443,True
351700,GETULINA,452,10232,18806.06,0.717,0.471,75.74,73.88,97.85,100.0,296.4,40.77,90.0,92.85,89.14,SIM,Sim,Não,Não,Não,4417.513682564503,True
351710,GLICERIO,92,4138,25880.65,0.735,0.522,58.05,56.96,90.97,100.0,223.0,18.23,100.0,73.54,98.1,NAO,Sim,Não,Não,Não,2223.2962783953603,True
